"group","individual.local.identifier","timestamp","location.long","location.lat"
"AA","all",2014-01-04 12:30:00,-85.3641559789085,10.5143271060707
"AA","all",2014-01-04 13:00:00,-85.3641100041608,10.5146192070177
"AA","all",2014-01-04 13:30:00,-85.3637535637214,10.5146801798003
"AA","all",2014-01-04 14:00:00,-85.3635651525389,10.5146914254996
"AA","all",2014-01-04 14:30:00,-85.3640629956025,10.5156466970588
"AA","all",2014-01-04 15:00:00,-85.364603977504,10.5165780103333
"AA","all",2014-01-04 15:30:00,-85.3651387991461,10.517369024569
"AA","all",2014-01-04 16:00:00,-85.3642564360146,10.5180102680378
"AA","all",2014-01-04 16:30:00,-85.3640515963338,10.5179815181028
"AA","all",2014-01-04 17:00:00,-85.3642118441898,10.5176132564314
"AA","all",2014-01-04 17:30:00,-85.3647188656032,10.5176814179868
"AA","all",2014-01-05 05:00:00,-85.3648156167284,10.5177620758479
"AA","all",2014-01-05 05:30:00,-85.3644436738088,10.5190490931731
"AA","all",2014-01-05 06:00:00,-85.3645952466512,10.5190039845954
"AA","all",2014-01-05 06:30:00,-85.3654709598744,10.5176182603987
"AA","all",2014-01-05 07:00:00,-85.3651911298253,10.5168519867838
"AA","all",2014-01-05 07:30:00,-85.363971409226,10.5158646965124
"AA","all",2014-01-05 08:00:00,-85.3630535210845,10.5150039169827
"AA","all",2014-01-05 08:30:00,-85.3621475071615,10.5145925051289
"AA","all",2014-01-05 09:00:00,-85.3613731172775,10.5150772165837
"AA","all",2014-01-05 09:30:00,-85.3612011345068,10.5153183778785
"AA","all",2014-01-05 10:00:00,-85.360653279402,10.5160974757972
"AA","all",2014-01-05 10:30:00,-85.3601315201673,10.5173778814534
"AA","all",2014-01-05 11:00:00,-85.3602238784257,10.5182452447008
"AA","all",2014-01-05 11:30:00,-85.3599696234134,10.519024352549
"AA","all",2014-01-05 12:00:00,-85.3593811580983,10.5204884339238
"AA","all",2014-01-05 12:30:00,-85.3579206949418,10.5203561952643
"AA","all",2014-01-05 13:00:00,-85.3574377995884,10.5201799795412
"AA","all",2014-01-05 13:30:00,-85.3573550707875,10.5213890692136
"AA","all",2014-01-05 14:00:00,-85.3570144157949,10.5217230180395
"AA","all",2014-01-05 14:30:00,-85.3585014908034,10.5215499049328
"AA","all",2014-01-05 15:00:00,-85.3605835005254,10.521017681271
"AA","all",2014-01-05 15:30:00,-85.3611529665544,10.5198360001748
"AA","all",2014-01-05 16:00:00,-85.3615459240512,10.5190129532559
"AA","all",2014-01-05 16:30:00,-85.3618223455279,10.5172847305822
"AA","all",2014-01-05 17:00:00,-85.3626275954753,10.5162172538162
"AA","all",2014-01-05 17:30:00,-85.3639457188547,10.5155633110553
"AA","all",2014-01-06 05:00:00,-85.3642469225778,10.5148406513184
"AA","all",2014-01-06 05:30:00,-85.3641914763123,10.5144763738379
"AA","all",2014-01-06 06:00:00,-85.3656889585623,10.5146592396442
"AA","all",2014-01-06 06:30:00,-85.367895033692,10.5153485113412
"AA","all",2014-01-06 07:00:00,-85.3692767486868,10.5160290518609
"AA","all",2014-01-06 07:30:00,-85.3703650134018,10.5165557005874
"AA","all",2014-01-06 08:00:00,-85.3712246334064,10.5168762104605
"AA","all",2014-01-06 08:30:00,-85.3716147126535,10.5174467667148
"AA","all",2014-01-06 09:00:00,-85.3716127155044,10.5173210240997
"AA","all",2014-01-06 09:30:00,-85.3712629665495,10.51677924585
"AA","all",2014-01-06 10:00:00,-85.3704210180681,10.5159803388119
"AA","all",2014-01-06 10:30:00,-85.3701308230015,10.5153936892824
"AA","all",2014-01-06 11:00:00,-85.3700027000165,10.5152800530209
"AA","all",2014-01-06 11:30:00,-85.3700520610387,10.5153207248091
"AA","all",2014-01-06 12:00:00,-85.3701154701349,10.5153460661125
"AA","all",2014-01-06 12:30:00,-85.3699403302433,10.5145951313918
"AA","all",2014-01-06 13:00:00,-85.3694760424728,10.5135507463611
"AA","all",2014-01-06 13:30:00,-85.3684077411857,10.5130219739721
"AA","all",2014-01-06 14:00:00,-85.367942573506,10.5126159964142
"AA","all",2014-01-06 14:30:00,-85.3682338587404,10.5122833047916
"AA","all",2014-01-06 15:00:00,-85.3696427726496,10.5113938313911
"AA","all",2014-01-06 15:30:00,-85.3701202758826,10.5119811650969
"AA","all",2014-01-06 16:00:00,-85.3697766736608,10.5126604484657
"AA","all",2014-01-06 16:30:00,-85.369436033069,10.5132963415392
"AA","all",2014-01-06 17:00:00,-85.3687443250345,10.5136397817307
"AA","all",2014-01-06 17:30:00,-85.3686081524938,10.5137661471963
"AA","all",2014-01-07 05:00:00,-85.3684458308947,10.51395440475
"AA","all",2014-01-07 05:30:00,-85.3701154700391,10.5144298411953
"AA","all",2014-01-07 06:00:00,-85.372211686769,10.5135834360652
"AA","all",2014-01-07 06:30:00,-85.373215056775,10.5119899104494
"AA","all",2014-01-07 07:00:00,-85.3749637168311,10.510902120957
"AA","all",2014-01-07 07:30:00,-85.3754501325767,10.5101184687686
"AA","all",2014-01-07 08:00:00,-85.3765320405481,10.5096617390094
"AA","all",2014-01-07 08:30:00,-85.3776158765335,10.5095466273855
"AA","all",2014-01-07 09:00:00,-85.3780381149533,10.5088551622429
"AA","all",2014-01-07 09:30:00,-85.3788303584014,10.5084154895014
"AA","all",2014-01-07 10:00:00,-85.3792333882674,10.5081875157093
"AA","all",2014-01-07 10:30:00,-85.3793833544439,10.5078936740794
"AA","all",2014-01-07 11:00:00,-85.3797629010156,10.5075270636477
"AA","all",2014-01-07 11:30:00,-85.379962194778,10.5066878674882
"AA","all",2014-01-07 12:00:00,-85.3806799928643,10.5066272244703
"AA","all",2014-01-07 12:30:00,-85.3813815441988,10.5071422225487
"AA","all",2014-01-07 13:00:00,-85.3818152517567,10.507601117768
"AA","all",2014-01-07 13:30:00,-85.3822919027889,10.5078553827504
"AA","all",2014-01-07 14:00:00,-85.3819460376829,10.5078760861793
"AA","all",2014-01-07 14:30:00,-85.3807796399146,10.5087681441139
"AA","all",2014-01-07 15:00:00,-85.3806010774019,10.5099588074028
"AA","all",2014-01-07 15:30:00,-85.3798149942564,10.5103902241714
"AA","all",2014-01-07 16:00:00,-85.3784486743708,10.5095963741324
"AA","all",2014-01-07 16:30:00,-85.3779046612765,10.5102609471577
"AA","all",2014-01-07 17:00:00,-85.377391856302,10.5111968704409
"AA","all",2014-01-07 17:30:00,-85.3772928100079,10.5115204676986
"AA","all",2014-01-08 05:00:00,-85.3771235371428,10.5110958127102
"AA","all",2014-01-08 05:30:00,-85.3758414136198,10.5113651510381
"AA","all",2014-01-08 06:00:00,-85.3750140356731,10.5100926384471
"AA","all",2014-01-08 06:30:00,-85.3743880614198,10.5088082934907
"AA","all",2014-01-08 07:00:00,-85.3733899587647,10.5084441701053
"AA","all",2014-01-08 07:30:00,-85.3714229775408,10.5094134953048
"AA","all",2014-01-08 08:00:00,-85.3698115002834,10.5094922009841
"AA","all",2014-01-08 08:30:00,-85.3685275882261,10.5091918634987
"AA","all",2014-01-08 09:00:00,-85.3679496841342,10.5087288050339
"AA","all",2014-01-08 09:30:00,-85.367447426566,10.5088126939611
"AA","all",2014-01-08 10:00:00,-85.3671964304543,10.5091181024952
"AA","all",2014-01-08 10:30:00,-85.3670397587244,10.5093578528655
"AA","all",2014-01-08 11:00:00,-85.3669862123315,10.5094928294454
"AA","all",2014-01-08 11:30:00,-85.3668895689275,10.5103694507952
"AA","all",2014-01-08 12:00:00,-85.3667071929048,10.5110135163705
"AA","all",2014-01-08 12:30:00,-85.36602328542,10.5116110901004
"AA","all",2014-01-08 13:00:00,-85.3649718457376,10.5122151743779
"AA","all",2014-01-08 13:30:00,-85.3641486447414,10.5126764858367
"AA","all",2014-01-08 14:00:00,-85.36430435252,10.5129891308121
"AA","all",2014-01-08 14:30:00,-85.364641807975,10.5135671608215
"AA","all",2014-01-08 15:00:00,-85.3647120762647,10.5144509626558
"AA","all",2014-01-08 15:30:00,-85.364177115235,10.5146042258149
"AA","all",2014-01-08 16:00:00,-85.3641868940367,10.5146719097062
"AA","all",2014-01-08 16:30:00,-85.3660075137115,10.5140578657953
"AA","all",2014-01-08 17:00:00,-85.3675970714975,10.5136304726417
"AA","all",2014-01-08 17:30:00,-85.3683922346681,10.5135136004537
"AA","all",2014-01-09 05:00:00,-85.3687552548719,10.5137515209581
"AA","all",2014-01-09 05:30:00,-85.369974849177,10.5139219392755
